
======================================================================
RUNNING ALL EXPERIMENTS
Total experiments: 19
Total runs: 1000
Estimated time: ~66.7 minutes (at 4s/run)
======================================================================


######################################################################
# EXPERIMENT: baseline
# Baseline: unmodified airbench94
# Runs: 100
######################################################################


============================================================
Experiment: baseline_ec2132ab
Timestamp: 2025-12-08T21:23:26.463225
Config overrides: None
Number of runs: 100
============================================================

------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      3  |      1.1387  |     0.8721  |   0.7968  |               |              1.5967  |
|          |      4  |      1.1240  |     0.8721  |   0.8673  |               |              1.9718  |
|          |      5  |      1.0928  |     0.8887  |   0.8157  |               |              2.3444  |
|          |      6  |      1.0449  |     0.9189  |   0.8723  |               |              2.7180  |
|          |      7  |      1.0205  |     0.9326  |   0.9013  |               |              3.0941  |
|          |      8  |      0.9653  |     0.9609  |   0.9221  |               |              3.4685  |
|          |      9  |      0.9429  |     0.9834  |   0.9343  |               |              3.8117  |
|          |   eval  |      0.9429  |     0.9834  |   0.9343  |       0.9410  |              3.9793  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4258  |     0.7080  |   0.6836  |               |              0.4105  |
|          |      1  |      1.2910  |     0.7812  |   0.7597  |               |              0.8181  |
|          |      2  |      1.2207  |     0.8271  |   0.7754  |               |              1.2256  |
|          |      3  |      1.1602  |     0.8496  |   0.8381  |               |              1.6016  |
|          |      4  |      1.1436  |     0.8604  |   0.8448  |               |              1.9766  |
|          |      5  |      1.0908  |     0.9072  |   0.8768  |               |              2.3517  |
|          |      6  |      1.0488  |     0.9150  |   0.8919  |               |              2.7262  |
|          |      7  |      1.0176  |     0.9316  |   0.8987  |               |              3.0999  |
|          |      8  |      0.9668  |     0.9629  |   0.9222  |               |              3.4740  |
|          |      9  |      0.9370  |     0.9834  |   0.9342  |               |              3.8172  |
|          |   eval  |      0.9370  |     0.9834  |   0.9342  |       0.9401  |              3.9837  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.4189  |     0.7197  |   0.6127  |               |              0.4110  |
|          |      1  |      1.2578  |     0.8066  |   0.7513  |               |              0.8193  |
|          |      2  |      1.1768  |     0.8574  |   0.8242  |               |              1.2272  |
|          |      3  |      1.1475  |     0.8662  |   0.7417  |               |              1.6040  |
|          |      4  |      1.1074  |     0.8877  |   0.8523  |               |              1.9788  |
|          |      5  |      1.0996  |     0.8936  |   0.8729  |               |              2.3543  |
|          |      6  |      1.0703  |     0.9033  |   0.8865  |               |              2.7290  |
|          |      7  |      1.0225  |     0.9268  |   0.9031  |               |              3.1050  |
|          |      8  |      0.9639  |     0.9658  |   0.9242  |               |              3.4807  |
|          |      9  |      0.9541  |     0.9727  |   0.9339  |               |              3.8267  |
|          |   eval  |      0.9541  |     0.9727  |   0.9339  |       0.9407  |              3.9929  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4834  |     0.6787  |   0.6201  |               |              0.4107  |
|          |      1  |      1.3115  |     0.7861  |   0.7733  |               |              0.8206  |
|          |      2  |      1.2148  |     0.8301  |   0.7161  |               |              1.2309  |
|          |      3  |      1.1885  |     0.8330  |   0.7973  |               |              1.6050  |
|          |      4  |      1.1113  |     0.8896  |   0.8416  |               |              1.9798  |
|          |      5  |      1.0859  |     0.9082  |   0.8792  |               |              2.3563  |
|          |      6  |      1.0322  |     0.9248  |   0.8881  |               |              2.7327  |
|          |      7  |      1.0195  |     0.9258  |   0.9005  |               |              3.1078  |
|          |      8  |      0.9790  |     0.9590  |   0.9187  |               |              3.4823  |
|          |      9  |      0.9443  |     0.9717  |   0.9326  |               |              3.8274  |
|          |   eval  |      0.9443  |     0.9717  |   0.9326  |       0.9422  |              3.9945  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.4375  |     0.7119  |   0.6835  |               |              0.4119  |
|          |      1  |      1.2520  |     0.8145  |   0.7578  |               |              0.8204  |
